latitude,longitude
63.7636,14.8947
-73.7856,-3.2388
49.1736,-100.6501
-63.4528,53.7269
35.7771,112.1301
-56.7491,-82.0226
41.5414,-148.5194
-62.5573,171.0761
15.6342,-1.1721
-58.8485,69.0032
-38.471,60.9529
-35.7821,-132.0787
51.5267,158.7269
-0.8906,-61.66
74.3415,134.5818
44.3908,179.4268
-75.5793,-103.6792
36.8169,1.8913
-34.058,18.4844
58.5212,-51.6057
4.0331,-172.7546
18.1006,-50.1796
-14.4341,32.2474
73.5061,-5.8333
-50.5076,111.3504
-66.4952,22.0162
0.0301,-49.2319
-37.5367,27.3092
13.0751,-66.5958
-60.5122,-99.9708
-3.506,99.0721
-51.8135,-17.4641
67.5307,47.0759
62.2812,167.8319
-84.2178,14.6426
87.474,-52.0815
-22.4586,-22.9419
-21.4775,-14.2374
37.3819,-89.8212
-65.3909,176.231
48.3889,52.5051
-26.1518,17.216
-88.1223,151.268
72.4149,-166.6905
82.0568,-117.1937
-35.7261,-9.2481
-45.4175,-117.0003
83.2623,-157.7382
83.877,-133.7499
66.5972,15.1975
40.6871,32.5845
-59.6,-166.5503
-1.4815,-158.9967
76.5782,166.7529
47.6658,-48.3545
42.491,151.0354
7.8056,33.3789
31.3529,-55.1626
4.3943,13.935
12.5318,148.8603
9.009,2.9122
10.7631,36.9127
-53.4145,-15.838
19.3179,-80.5969
-31.9652,-172.7164
87.4133,123.0646
-60.6041,-70.3492
46.1116,72.7286
-21.098,97.465
89.1809,-136.7622
-69.4692,-168.4472
5.561,127.5835
49.3838,-37.2606
16.5407,132.2352
-12.519,-62.7556
18.1627,30.421
-73.8835,151.1809
-61.3001,-45.3491
-42.401,-135.5656
-80.758,60.1597
12.89,-143.5061
-17.5902,-94.1983
-1.5084,-83.0377
73.6462,39.4009
65.9276,94.1998
36.4142,-128.5379
52.0712,-80.8241
-26.4959,-102.4138
-23.6189,-63.3551
-56.8933,-0.3317
-76.9718,74.9857
58.5653,-134.5443
-45.2676,-8.8612
-86.6866,-173.7143
20.4247,-61.6567
62.5481,-77.7042
59.066,137.5162
-6.3297,-12.5656
16.7929,5.2048
-24.0989,46.0156
-73.6008,-141.6857
80.2464,5.1582
-4.2197,29.2806
12.0019,-157.1353
33.3295,-146.9687
-26.9625,-9.7652
56.2351,-153.86
-9.2611,39.8553
-46.5649,-161.3535
-43.3372,-123.5829
-38.1606,-13.767
-58.9112,96.9667
-50.5574,14.7553
-34.7279,-71.8642
56.2008,21.3825
-43.8863,-132.9653
-27.2732,35.1359
-31.4075,-122.2328
58.1986,-73.5253
-26.7972,-85.1112
-3.0307,-52.9887
79.158,61.164
-15.0687,170.4288
9.4293,13.9671
47.7223,160.0388
32.4164,-56.1862
-11.4879,-149.1148
-65.734,-104.7687
-47.5321,-153.6064
-72.6642,131.3642
-57.7398,-155.4525
35.1619,118.0542
31.5468,-19.8001
79.7804,69.7818
29.0084,120.277
-76.2081,21.5288
-11.3362,-156.1617
49.2726,107.8569
-81.8103,21.3464
-37.459,-56.0081
10.9439,49.4834
-79.6706,27.4014
-24.0857,-9.7146
32.0595,162.6007
-23.3613,139.08
38.6172,-100.6087
-37.2415,163.42
80.3405,91.6956
24.4539,-19.3749
40.9936,95.2972
88.7817,94.8664
-72.365,-57.6568
-81.3069,-157.8254
55.679,157.5371
-60.8161,36.3331
29.1358,-165.3272
49.0526,144.8361
-4.723,127.4007
3.9854,33.4914
-64.2058,-119.149
-60.2633,-25.7136
26.4256,109.8071
34.4882,46.0383
-34.8421,165.2889
-37.441,24.1601
-57.1589,61.4529
46.4358,121.1855
63.7414,-71.7453
78.3275,107.4965
12.6501,44.8934
19.5133,-142.9555
-61.4434,-72.9897
-55.157,-172.3676
18.2582,-23.1271
-66.8927,-27.2707
-30.0923,-28.5638
47.1214,-115.6779
-4.9998,-106.7408
-36.6644,27.4311
-25.5325,161.1366
-20.5025,179.7157
-57.252,149.4124
63.9787,-153.6521
42.3483,101.2457
-66.3817,28.3079
79.1085,6.384
-32.7637,-143.679
-18.5408,-22.2509
-22.5341,-162.6976
55.1858,89.8523
59.9024,-169.1947
-62.327,-166.9241
-58.0433,144.5146
49.5934,-157.6169
70.0557,72.7245
-86.8455,131.8915
6.8494,-149.8963
11.44,50.9995
-49.1813,-57.73
43.7054,-90.7253
86.2109,-63.8134
-26.3729,-131.9834
6.9252,-111.6535
-84.6209,112.8466
47.6062,62.0283
39.7314,-141.8302
53.2162,-119.9108
66.1679,20.0759
85.0477,154.6728
1.832,-115.5749
12.3754,27.7157
-24.7912,-96.1986
72.7861,112.5041
-83.238,-16.2775
12.3841,138.6308
20.9888,79.7119
71.9359,-149.6512
84.0678,-149.9545
-26.8739,-15.5824
10.334,-101.5495
-10.7154,-57.1019
-59.4949,-64.9593
35.4786,103.4347
-5.1943,166.5382
1.672,-50.9672
-86.1343,57.4054
-88.7386,-138.2345
-56.61,85.0265
-23.2931,-115.3183
-73.8283,-127.3219
82.8849,-179.2243
79.8737,-142.7882
70.5068,-42.2478
-74.6359,147.3527
-59.8929,128.7936
-85.7967,-102.1536
4.5928,-30.7328
-74.4118,83.641
41.7947,176.1622
57.4258,175.6918
25.5061,-68.0454
